A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15
Tosio,Wernecke,F,769,972-4009,QUITMAN,MS,39355,S,N,90000,5.0,6000,0,0
Rodney,Perl,F,202,737-8121,WASHINGTON,DC,20403,S,Y,15000,5625,1370,0,1370
Simukai,Chiarodo,M,573,508-7884,MILO,MO,64767,S,Y,80000,6.0,2100,0,1200
Hubertus,Wiggert,M,618,143-8635,LEWISTOWN,IL,61542,S,N,15000,3.0,2000,0,0
Cemal,Holand,F,941,637-9249,AUBURNDALE,FL,33823,M,N,70000,0.0,0,0,0
Bingchiang,Jahnichen,M,939,365-4809,LUQUILLO,PR,773,S,N,100000,0.0,0,0,0
Falguni,Begiun,F,609,993-2963,BUDD LAKE,NJ,7828,S,N,75000,2.267396,1000,0,0
Sarmad,Goodburn,M,505,787-1338,MAYHILL,NM,88339,M,Y,95000,5.3,0,6600,3300
Haomin,Wodon,F,443,748-2787,MANCHESTER,MD,21102,S,Y,50000,4.75,2400,0,2400
Dave,Rapp,F,503,238-1530,ADEL,OR,97620,M,N,10000,9.0,0,318,0
Emil,Babaguchi,F,505,543-2894,HOBBS,NM,88242,S,Y,85000,5.3,3300,0,3300
Patricio,Marburger,M,769,342-5668,BENTON,MS,39039,S,N,55000,5.0,6000,0,0
Eshrat,Veljan,F,301,137-3006,POOLESVILLE,MD,20837,S,Y,20000,4.75,2400,0,2400
Zmago,Collard,M,401,780-7159,NORTH SCITUATE,RI,2857,M,N,10000,0.0,0,0,0
Ida,Simmen,M,985,350-7989,ALEXANDRIA,LA,71309,S,N,70000,6.0,4500,0,0
Yalin,Nerode,M,212,939-3008,WANTAGH,NY,11793,M,Y,85000,4.4460363,0,0,1000
Shooying,Malsburg,M,276,905-1526,CHARLOTTESVILLE,VA,22910,M,Y,40000,5.75,0,1800,900
Weihai,Schwederski,F,610,267-5813,NEWTOWN,PA,18940,S,Y,70000,3.07,0,0,0
Anjaneyulu,Kirschenbaum,M,513,195-3964,DAYTON,OH,45426,M,N,30000,1.5418718,0,2600,0
Tihomir,Vinay,M,208,463-3515,MALAD CITY,ID,83252,S,N,70000,7.8,3300,0,0
Mechthild,Antin,F,970,632-2310,PUEBLO,CO,81001,M,N,20000,4.63,0,0,0
Orit,Luff,M,775,577-1771,NELLIS AFB,NV,89191,S,Y,10000,0.0,0,0,0
Boonsieng,Lampaert,M,480,757-1507,BAGDAD,AZ,86321,M,N,90000,4.11,0,4200,0
Gabriela,Ritondale,F,985,946-6751,WINNSBORO,LA,71295,M,N,85000,6.0,0,9000,0
Phoebe,Taka,F,918,193-7826,WYNONA,OK,74084,S,N,60000,6.25,1000,0,0
Harm,Boulier,M,276,172-9415,HENRICO,VA,23242,S,Y,95000,5.75,900,0,900
Masasuke,Straubing,F,706,615-9678,ALAMO,GA,30411,S,N,55000,6.0,2700,0,0
Wolffried,Kahl,M,660,469-8372,CATAWISSA,MO,63015,M,N,70000,6.0,0,4200,0
Spiro,Farrag,M,520,229-3957,LITTLEFIELD,AZ,86432,S,N,75000,3.8775,2100,0,0
Xunwei,Worm,F,701,496-3025,HETTINGER,ND,58639,S,N,5000,2.1,3300,0,0
Yuichi,Sakomoto,M,402,914-8917,HENDLEY,NE,68946,S,Y,100000,6.84,103,0,103
Rajmohan,Sohoni,F,203,447-7207,MANCHESTER,CT,6042,M,N,60000,5.0,0,24500,0
Keung,Zeadally,F,260,364-5093,WHITESTOWN,IN,46075,M,N,20000,3.4,0,2000,0
Garnet,Cuatto,M,765,726-1685,FARMLAND,IN,47340,M,N,10000,3.4,0,2000,0
Jovisa,Hoang,F,303,325-1590,LOUISVILLE,CO,80027,M,Y,40000,4.63,0,0,0
Saeko,Angele,F,605,258-1064,RAPID CITY,SD,57709,S,N,10000,0.0,0,0,0
Stefanie,Rosenbohm,F,603,120-2723,GILSUM,NH,3448,S,N,65000,0.0,0,0,0
Hui,McLellan,F,775,954-2509,SLOAN,NV,89054,M,N,50000,0.0,0,0,0
Case,Pavlotskaya,F,606,201-9014,MAYSLICK,KY,41055,M,Y,30000,3.5,0,40,20
Yimeng,Ciesielski,F,605,199-2440,OACOMA,SD,57365,M,Y,100000,0.0,0,0,0
Katharine,Stolboushkin,M,302,779-4791,DOVER AFB,DE,19902,M,N,25000,3.5636363,0,220,0
Hafedh,Averbukh,M,406,673-6247,SOMERS,MT,59932,M,N,45000,6.9,0,3800,0
Mallory,Provost,F,351,891-3088,NORTH FALMOUTH,MA,2556,S,N,60000,5.3,3575,0,0
Kemal,Fouquere,F,307,112-7643,EMBLEM,WY,82422,M,Y,80000,0.0,0,0,0
Haiko,Humenik,M,802,122-4326,WATERBURY CENTER,VT,5677,S,Y,80000,4.5967627,3300,0,3300
Moises,Orgass,F,702,550-7314,IMLAY,NV,89418,M,Y,90000,0.0,0,0,0
Liao,Fortenbacher,M,402,154-4623,LOUISVILLE,NE,68037,M,Y,75000,6.84,0,206,103
Mandy,Haasis,M,304,813-8667,SALEM,WV,26426,S,N,40000,5.1000004,2000,0,0
Espen,Wettschereck,M,843,523-4408,DAUFUSKIE ISLAND,SC,29915,M,Y,15000,7.0,0,6600,3300
Darwen,Giaccio,F,971,454-1195,OREGON CITY,OR,97045,S,N,10000,9.0,159,0,0
Bingning,Grun,M,202,282-7013,WASHINGTON,DC,20052,M,Y,60000,9.0,0,2740,1370
Ivelin,Benoit,F,303,173-6789,SEVERANCE,CO,80546,M,Y,30000,4.63,0,0,0
Aamod,Anger,M,406,213-3932,WILLOW CREEK,MT,59760,S,Y,90000,6.9,1900,0,1900
Kenmore,Corless,M,434,303-7734,CHESTER GAP,VA,22623,S,Y,70000,5.75,900,0,900
Anjaneyulu,Portugali,M,307,679-3237,LARAMIE,WY,82071,S,N,40000,0.0,0,0,0
Vinoo,Brush,M,978,434-8775,GROVELAND,MA,1834,S,Y,5000,5.3,3575,0,1000
Isdor,Grams,M,601,483-7484,ETTA,MS,38627,M,N,35000,5.0,0,12000,0
Tianxu,Delannoy,F,228,112-1279,JACKSON,MS,39271,S,Y,45000,5.0,6000,0,1500
Vimal,McFarlin,F,508,104-2752,ATTLEBORO,MA,2703,M,N,90000,5.3,0,7150,0
Partick,Dangelo,M,615,265-1230,TROY,TN,38260,S,N,85000,0.0,0,0,0
Kyungshik,Piazza,M,803,230-1817,SUMMERVILLE,SC,29483,S,Y,25000,7.0,3300,0,3300
Wenjun,Burston,M,405,797-8697,OCHELATA,OK,74051,M,Y,20000,6.25,0,2000,1000
Toshimasa,Wirthlin,F,260,965-7739,ECONOMY,IN,47339,S,N,30000,3.4,1000,0,0
Germano,Rish,M,207,757-4917,AUGUSTA,ME,4330,S,Y,80000,8.5,2850,0,2850
Gerri,Ashfield,M,619,916-8526,LEGGETT,CA,95585,S,N,50000,9.3,87,0,0
Akifumi,Linnemann,M,605,749-7570,SPRINGFIELD,SD,57062,S,Y,40000,0.0,0,0,0
Noam,Kroll,M,765,868-5612,RICHMOND,IN,47375,S,Y,85000,3.4,1000,0,1000
Doan,Bergen,M,701,662-7787,HETTINGER,ND,58639,S,N,5000,2.1,3300,0,0
Andishe,Trucco,F,229,837-8677,MAYSVILLE,GA,30558,M,N,15000,6.0,0,5400,0
Satyamurthy,Getis,M,515,515-3120,MARSHALLTOWN,IA,50158,S,Y,75000,8.98,40,0,40
Winky,Badache,M,319,817-6266,ALLERTON,IA,50008,S,Y,20000,3.2516527,40,0,40
Durga,Bestgen,F,484,287-8925,ALEXANDRIA,PA,16611,S,N,25000,3.07,0,0,0
Arra,Clemmensen,M,608,909-8672,MILWAUKEE,WI,53222,M,N,25000,4.880782,0,1400,0
Hovav,Marrevee,F,551,121-8481,ELMER,NJ,8318,M,Y,60000,2.0308332,0,2000,1500
Rens,Shanmugasundaram,M,503,755-7899,EUGENE,OR,97405,S,Y,85000,9.0,159,0,159
Mengly,Weener,F,507,205-9010,VERNDALE,MN,56481,M,N,10000,5.35,0,6600,0
Murthy,Erni,M,215,948-6602,POMEROY,PA,19367,S,N,25000,3.07,0,0,0
Yaakov,Suros,F,401,157-9953,GREENVILLE,RI,2828,M,N,85000,0.0,0,0,0
Moritoshi,Lafora,M,202,374-7501,WASHINGTON,DC,20508,M,Y,75000,9.0,0,2740,1370
Gerrine,Skwarecki,F,205,387-6137,CLANTON,AL,35045,S,N,40000,5.0,1500,0,0
Piera,Yahyapour,F,605,301-7461,CLAREMONT,SD,57432,M,Y,10000,0.0,0,0,0
Kamila,Poon,F,907,217-6951,FAIRBANKS,AK,99706,S,Y,55000,0.0,0,0,0
Lynn,Parashkevov,M,618,242-7390,GOREVILLE,IL,62939,M,Y,20000,3.0,0,4000,2000
Yixun,Yokomizo,F,985,935-6003,SAINT AMANT,LA,70774,M,Y,45000,6.0,0,9000,1000
Sidhar,Ponceleon,F,334,722-2105,CULLMAN,AL,35057,S,Y,35000,5.0,1500,0,300
Shair,Mouchtaris,M,864,562-2861,BATH,SC,29816,S,N,70000,7.0,3300,0,0
Pradeep,Collavizza,M,501,273-4547,TRASKWOOD,AR,72167,M,N,30000,7.0,0,40,0
Genki,Wolovich,M,860,328-9304,WASHINGTON,CT,6793,S,N,10000,NaN,12750,0,0
Toneluh,Minka,F,772,495-2533,GAINESVILLE,FL,32613,M,N,25000,0.0,0,0,0
Shuo,Iijima,F,701,818-8916,HANKINSON,ND,58041,S,N,35000,2.161439,3300,0,0
Jaya,Voiskunskii,M,228,189-3880,KOKOMO,MS,39643,M,N,80000,5.0,0,12000,0
Love,Tupikova,M,701,395-6593,DUNN CENTER,ND,58626,S,N,30000,2.1034775,3300,0,0
Estrella,Lenders,F,339,974-6795,PLYMOUTH,MA,2360,S,N,75000,5.3,3575,0,0
Mahadevamurty,Beke,F,308,431-3037,BARTLETT,NE,68622,M,Y,70000,6.84,0,206,103
JoAnna,Ochimizu,M,540,269-7692,SPRINGFIELD,VA,22161,M,N,70000,5.75,0,1800,0
Yoshinari,Jelonek,M,808,758-4690,KAILUA KONA,HI,96740,M,N,100000,8.25,0,2080,0
Tuval,Broscius,F,541,652-9055,HERMISTON,OR,97838,M,N,40000,9.0,0,318,0
Chandrajit,Lupton,F,856,823-1991,SOMERSET,NJ,8873,S,Y,15000,1.4,1000,0,1500
Yeow,Pinger,F,434,397-5507,ARLINGTON,VA,22230,M,N,80000,5.75,0,1800,0
Truman,Philippsen,M,229,511-7051,GAINESVILLE,GA,30504,S,Y,95000,6.0,2700,0,3000
Wilmer,Griwodz,F,262,762-2011,LITTLE CHUTE,WI,54140,M,N,15000,4.707031,0,1400,0
AbdelAli,Lutzeler,M,402,832-9989,DAVEY,NE,68336,S,Y,60000,6.84,103,0,103
Bertjan,Stroud,M,918,340-9145,WAGONER,OK,74467,S,Y,25000,6.25,1000,0,1000
Jereon,Waksman,M,860,720-2484,NORTH GRANBY,CT,6060,S,Y,55000,5.0,12750,0,0
Hoon,McCallum,M,913,434-2530,CALDWELL,KS,67022,S,Y,70000,6.45,2250,0,2250
Lui,Bai,F,563,722-2265,OLDS,IA,52647,S,Y,15000,2.479763,40,0,40
Alexei,Kark,M,202,999-8782,WASHINGTON,DC,20310,M,Y,60000,9.0,0,2740,1370
Birgitta,Mottet,F,801,504-6849,WEST JORDAN,UT,84088,S,Y,15000,7.0,2475,0,2475
Dejan,Kurita,F,763,963-5830,HILLS,MN,56138,M,N,55000,7.1904483,0,6600,0
Rengarajan,Newstetter,M,260,545-1417,DUGGER,IN,47848,S,Y,100000,3.4,1000,0,1000
Maisa,Skeel,F,401,630-3478,EAST PROVIDENCE,RI,2914,M,Y,5000,0.0,0,0,0
Joachim,Lugannani,M,918,880-9509,OKLAHOMA CITY,OK,73156,S,Y,5000,3.0555556,1000,0,1000
Giridharan,Takkinen,M,620,569-1704,OLATHE,KS,66061,S,Y,25000,5.4666667,2250,0,2250
Giora,Braunmuhl,F,641,796-2153,SABULA,IA,52070,M,N,85000,8.98,0,80,0
Marios,Fayerman,M,808,583-5581,HAWI,HI,96719,M,N,5000,1.9407895,0,2080,0
Carsten,Brooks,M,302,704-4501,WILMINGTON,DE,19890,S,Y,55000,5.609091,110,0,110
Joosun,Deb,F,619,115-1698,SACRAMENTO,CA,94244,S,Y,10000,1869,87,0,272
Nello,Tamesada,M,336,503-6966,EURE,NC,27935,M,N,100000,7.8304195,0,6600,0
Reggie,Keronen,M,202,391-5229,WASHINGTON,DC,20301,M,N,65000,9.0,0,2740,0
Tomonori,Protzen,M,617,302-1860,DORCHESTER CENTER,MA,2124,M,Y,95000,5.3,0,7150,1000
Aki,Waema,F,915,950-4386,SAN ANTONIO,TX,78257,S,N,100000,0.0,0,0,0
Kazuyo,Casas,M,401,738-1435,NEWPORT,RI,2841,M,Y,100000,0.0,0,0,0
Fujie,Anjan,F,302,153-4521,NEWARK,DE,19726,M,N,85000,5.95,0,220,0
Keqin,Weatherly,M,774,309-7944,COTUIT,MA,2635,S,N,55000,5.3,3575,0,0
Gholamali,Womble,M,567,632-4990,WELLINGTON,OH,44090,M,Y,10000,0.8779744,0,2600,1300
Fouad,Devitt,F,623,337-2528,ROLL,AZ,85347,M,Y,75000,3.8775,0,4200,2300
Yukon,Nitzan,F,405,844-2331,WELEETKA,OK,74880,M,N,60000,6.25,0,2000,0
Aspassia,Carchiolo,M,702,798-1940,LAS VEGAS,NV,89162,M,N,10000,0.0,0,0,0
Surendra,Struble,F,435,818-9959,TOQUERVILLE,UT,84774,S,N,40000,7.0,2475,0,0
Yasuma,VanScheik,F,605,663-8966,FULTON,SD,57340,M,Y,85000,0.0,0,0,0
Dentcho,Telerman,F,405,297-2418,BARNSDALL,OK,74002,M,N,70000,6.25,0,2000,0
Mirion,Perri,M,870,333-4224,HAVANA,AR,72842,S,N,45000,7.0,20,0,0
Maurelio,Wheen,M,848,325-4122,OCEAN GATE,NJ,8740,S,N,95000,2.5828125,1000,0,0
Kaname,Bergher,M,301,936-1021,QUANTICO,MD,21856,S,Y,85000,4.75,2400,0,2400
Youssef,Plainfosse,M,605,789-5424,FAIRBURN,SD,57738,S,Y,80000,0.0,0,0,0
Leni,Rosenquist,F,208,663-1929,GRAND VIEW,ID,83624,S,N,65000,7.8,3300,0,0
Kumar,Spink,F,417,955-5788,OTTERVILLE,MO,65348,M,N,75000,6.0,0,4200,0
Xun,Talmor,M,304,603-3004,ACCOVILLE,WV,25606,M,N,70000,6.5,0,4000,0
Amol,Steenbeek,M,701,536-7897,MEKINOCK,ND,58258,M,N,95000,2.8569736,0,6600,0
Oran,Boydens,M,225,133-1071,FARMERVILLE,LA,71241,S,N,35000,6.0,4500,0,0
Yamin,Krauser,F,253,508-1296,OMAK,WA,98841,S,N,50000,0.0,0,0,0
Rainer,Greibach,M,865,430-6074,PINEY FLATS,TN,37686,M,N,95000,0.0,0,0,0
Mizuho,Altiok,M,425,218-7489,CAMANO ISLAND,WA,98282,M,Y,5000,0.0,0,0,0
Toine,Milewski,F,505,175-9787,WILLARD,NM,87063,M,N,55000,5.3,0,6600,0
Basuki,Benton,M,787,203-1181,SAN GERMAN,PR,683,S,N,60000,0.0,0,0,0
Suvo,Sinicrope,M,801,392-8420,MONA,UT,84645,M,Y,50000,7.0,0,4950,2475
Yida,Shelburne,F,561,440-6275,FORT MC COY,FL,32134,M,Y,5000,0.0,0,0,0
Adit,Eoyang,M,218,210-9424,STEWART,MN,55385,S,Y,70000,7.85,3300,0,3300
Yoshioki,Tarlescu,M,763,660-2629,WACONIA,MN,55387,M,N,60000,7.4572573,0,6600,0
Chunming,Wolff,F,860,293-9864,NORTH FRANKLIN,CT,6254,S,N,95000,5.0,12750,0,0
Toshinobu,Cabarrus,F,603,256-1813,BARTLETT,NH,3812,S,N,35000,0.0,0,0,0
Kiyonori,Autexier,F,405,551-8566,GARBER,OK,73738,M,Y,15000,6.25,0,2000,1000
Shifu,Hirokawa,F,480,118-7190,MORRISTOWN,AZ,85342,S,N,95000,4.1875,2100,0,0
Dhruba,Tasiemski,F,651,124-4205,MILLVILLE,MN,55957,S,N,100000,7.85,3300,0,0
Gleb,Kiesler,M,434,972-4480,CASCADE,VA,24069,S,Y,55000,5.75,900,0,900
Werner,Aumann,F,573,687-7082,VERSAILLES,MO,65084,M,N,10000,6.0,0,4200,0
Francis,Tolga,F,253,332-7717,GRANITE FALLS,WA,98252,M,Y,30000,0.0,0,0,0
Parke,Dowell,M,202,121-3846,WASHINGTON,DC,20541,M,Y,45000,9.0,0,2740,1370
Kensyu,Bencher,F,859,900-3095,FRENCHBURG,KY,40322,S,N,40000,4.0555553,20,0,0
Nathan,Cornard,M,406,400-7893,SUN RIVER,MT,59483,M,N,55000,6.9,0,3800,0
Viviane,Tanishita,M,217,740-2063,CATLIN,IL,61817,M,N,90000,3.0,0,4000,0
Franklin,Brownfield,F,228,594-5815,COAHOMA,MS,38617,S,Y,25000,5.0,6000,0,1500
Deganit,Greenaway,F,314,169-3230,DUNNEGAN,MO,65640,M,Y,20000,6.0,0,4200,1200
Valentyn,Gellersen,F,401,246-2130,BRISTOL,RI,2809,M,N,10000,0.0,0,0,0
Walther,Hillston,M,585,692-4936,BROOKLYN,NY,11202,S,N,25000,4.0984755,0,0,0
Shimei,Rauscher,F,907,958-8999,ANCHORAGE,AK,99513,S,Y,30000,0.0,0,0,0
Alle,Brush,F,860,750-8810,BRANFORD,CT,6405,M,N,60000,5.0,0,24500,0
Isambo,Betz,M,603,693-8005,NORTH SUTTON,NH,3260,S,N,80000,0.0,0,0,0
Qunsheng,Alterman,M,504,896-5617,PRINCETON,LA,71067,S,Y,40000,6.0,4500,0,1000
Taiji,Pitsoulis,F,802,574-9515,BENNINGTON,VT,5201,S,N,25000,3.6,3300,0,0
Ardian,Sturmfels,M,504,797-4307,BOSSIER CITY,LA,71111,S,Y,30000,6.0,4500,0,1000
Sabrina,Daijavad,F,303,431-5206,BRIGHTON,CO,80603,S,Y,90000,4.63,0,0,0
Rephael,Rorvig,F,386,546-1672,CAPE CORAL,FL,33915,M,Y,45000,0.0,0,0,0
Graca,Hartvigsen,M,303,156-2710,CRESTED BUTTE,CO,81224,M,N,90000,4.63,0,0,0
Chienwen,Mokryn,F,775,998-3523,RENO,NV,89503,M,Y,10000,0.0,0,0,0
Carmem,Honiden,M,907,256-8966,MOOSE PASS,AK,99631,M,N,40000,0.0,0,0,0
Lalita,Crooks,F,435,510-5261,MIDWAY,UT,84049,S,N,15000,7.0,2475,0,0
Weixin,MacLachlan,M,775,858-6520,LAS VEGAS,NV,89103,S,Y,10000,0.0,0,0,0
Spephan,MacLachlan,F,505,252-7247,LAS CRUCES,NM,88004,S,N,35000,5.3,3300,0,0
Shinichiro,Ahlsen,F,808,812-6138,HOLUALOA,HI,96725,M,N,15000,3.743421,0,2080,0
Chuan,Willamowski,M,678,345-1428,ATLANTA,GA,30355,M,N,55000,6.0,0,5400,0
Radu,Mikulecky,M,307,716-9192,CROWHEART,WY,82512,M,N,30000,0.0,0,0,0
Adri,Multari,M,267,530-6664,BALLY,PA,19503,S,N,80000,3.07,0,0,0
Vaduvur,Cardiff,F,740,322-4300,SPRINGFIELD,OH,45501,S,N,40000,1.8738205,1300,0,0
Marcian,Cullinane,F,308,362-1948,HYANNIS,NE,69350,S,N,75000,6.84,103,0,0
Xiaoxin,Stefanini,F,701,573-6574,HANNAFORD,ND,58448,M,Y,25000,2.1,0,6600,3300
Hyunchul,Aghili,F,602,177-2707,TEMPE,AZ,85287,S,N,20000,3.0249999,2100,0,0
Dongho,Rhyne,M,857,961-9639,SOUTH HARWICH,MA,2661,M,Y,10000,5.3,0,7150,1000
Ursel,Joeris,M,720,494-3216,COLORADO SPRINGS,CO,80970,S,N,50000,4.63,0,0,0
Davood,Gryl,F,253,860-5350,TACOMA,WA,98418,M,Y,30000,0.0,0,0,0
Xinxin,Boddy,M,617,527-7767,SOUTH WELLFLEET,MA,2663,S,N,10000,5.3,3575,0,0
Michiko,Paries,F,608,208-3941,ONALASKA,WI,54650,S,Y,65000,5.575788,700,0,400
Seema,Weusten,F,231,858-9888,NEWPORT,MI,48166,S,N,70000,3.9,3100,0,0
Masaharu,Evett,M,772,702-3612,STUART,FL,34997,S,Y,75000,0.0,0,0,0
Alassane,Vigna,F,787,141-6015,GUAYNABO,PR,966,M,N,20000,0.0,0,0,0
Kishore,Papadourakis,M,251,297-8683,VINA,AL,35593,S,Y,60000,5.0,1500,0,300
Clemens,Alfonsin,M,505,240-7932,SANTO DOMINGO PUEBLO,NM,87052,S,Y,25000,5.3,3300,0,3300
Sakke,Dale,F,202,226-8471,WASHINGTON,DC,20060,S,Y,30000,9.0,1370,0,1370
Ruben,Bolotov,F,323,134-9048,MODESTO,CA,95356,M,N,65000,9.3,0,174,0
Feng,Ravishankar,F,701,570-5370,YPSILANTI,ND,58497,S,Y,80000,2.68309,3300,0,3300
Yasutaka,Streett,M,918,165-5674,FORT TOWSON,OK,74735,M,N,50000,6.25,0,2000,0
Alper,Leece,M,386,468-1141,PENNEY FARMS,FL,32079,M,Y,5000,0.0,0,0,0
Jian,Leherte,F,405,602-8332,WASHITA,OK,73094,S,Y,25000,6.25,1000,0,1000
Mamede,McGuffin,F,206,766-3919,PRESCOTT,WA,99348,S,Y,15000,0.0,0,0,0
Thoshiro,Trehel,M,731,522-9723,MURFREESBORO,TN,37128,S,N,65000,0.0,0,0,0
Attilio,Nedjah,M,731,412-7055,ATWOOD,TN,38220,M,N,90000,0.0,0,0,0
Surapant,Diskin,M,314,973-3013,VALLEY PARK,MO,63088,M,N,100000,6.0,0,4200,0
Shizuo,Feldmeier,F,207,738-1590,CANAAN,ME,4924,S,Y,35000,8.5,2850,0,2850
Supot,Kain,F,307,437-2649,LANCE CREEK,WY,82222,S,Y,20000,0.0,0,0,0
Maury,Beounes,F,651,324-4488,GRACEVILLE,MN,56240,M,N,95000,7.85,0,6600,0
Pernille,Whiteleather,M,571,207-7965,ROANOKE,VA,24040,M,Y,100000,5.75,0,1800,900
Biju,Klutke,F,620,131-5059,WILSON,KS,67490,S,N,5000,3.5,2250,0,0
Nazife,Navazio,M,302,798-5246,DOVER,DE,19906,S,N,75000,5.95,110,0,0
Gouhua,Nishimukai,M,801,427-4609,AXTELL,UT,84621,S,Y,40000,7.0,2475,0,2475
Ismailcem,Inamori,F,206,703-1772,OLALLA,WA,98359,S,N,55000,0.0,0,0,0
Paulina,Kroft,F,775,190-4098,LAS VEGAS,NV,89195,M,Y,70000,0.0,0,0,0
Nicolai,Zingoni,M,307,850-3925,LA BARGE,WY,83123,S,Y,35000,0.0,0,0,0
Wagdy,Vrecion,M,337,356-1027,MADISONVILLE,LA,70447,S,Y,85000,6.0,4500,0,1000
Jaber,Raffaeta,M,507,233-9290,OSSEO,MN,55311,M,Y,90000,7.85,0,6600,3300
DongGill,Drexl,F,940,993-5981,DALLAS,TX,75393,M,Y,15000,0.0,0,0,0
Emma,Zolotykh,F,270,412-2387,DORTON,KY,41520,M,Y,85000,6.0,0,40,20
Lennert,Rodiger,F,401,669-9325,EAST PROVIDENCE,RI,2914,M,Y,35000,0.0,0,0,0
Ciprian,Poupard,M,701,760-5150,HAMILTON,ND,58238,M,N,30000,2.1034775,0,6600,0
Danco,Hodas,F,515,342-3045,BRIGHTON,IA,52540,M,N,90000,8.98,0,80,0
Agata,Brlek,M,479,856-5175,MAYFLOWER,AR,72106,M,N,20000,4.9682083,0,40,0
Rogelio,Haslam,M,203,263-5870,BRIDGEPORT,CT,6602,M,Y,60000,5.0,0,24500,0
Seungjong,Tayi,M,605,157-4201,WHITE OWL,SD,57792,M,N,70000,0.0,0,0,0
Roelof,Dubernard,F,985,637-4461,BOGALUSA,LA,70427,S,Y,55000,6.0,4500,0,1000
Aahok,Prahl,M,864,605-9457,LAKE CITY,SC,29560,M,Y,10000,5.752432,0,6600,3300
Masaski,Khalil,F,912,749-5997,SAINT SIMONS ISLAND,GA,31522,M,N,100000,6.0,0,5400,0
Rashi,Racz,M,870,163-7627,RIVERVALE,AR,72377,S,Y,85000,7.0,20,0,20
Ghulam,Cappelletti,F,479,186-3201,CLINTON,AR,72031,S,N,60000,7.0,20,0,0
Roch,Priestley,F,860,396-1755,BRIDGEPORT,CT,6610,M,Y,35000,5.0,0,24500,0
Egor,Batliner,M,919,809-5406,LINVILLE,NC,28646,S,Y,45000,6.6765733,3300,0,3300
Jiming,Vadhan,M,720,654-5497,FREDERICK,CO,80530,S,Y,70000,4.63,0,0,0
Ewing,Tahar,M,603,303-1139,RUMNEY,NH,3266,M,N,100000,0.0,0,0,0
Foto,Hitson,M,603,730-1542,CANAAN,NH,3741,S,N,65000,0.0,0,0,0
Nataraj,Snedden,F,401,655-1984,OAKLAND,RI,2858,S,N,15000,0.0,0,0,0
Sanjive,Wind,M,701,337-9938,NEKOMA,ND,58355,M,Y,55000,2.3932838,0,6600,3300
Muralidhar,Heckerman,M,301,496-4002,WESTERNPORT,MD,21562,S,Y,35000,4.75,2400,0,2400
Pangfeng,Zaccaria,F,907,281-3365,ANCHORAGE,AK,99511,S,Y,90000,0.0,0,0,0
Aiko,Nitsche,M,304,676-3261,RAVENCLIFF,WV,25913,S,N,40000,5.1000004,2000,0,0
Badrul,Narendra,M,985,124-6572,BUNKIE,LA,71322,M,Y,40000,6.0,0,9000,1000
Bharathi,Speel,M,302,853-4580,WILMINGTON,DE,19880,S,N,40000,4.586364,110,0,0
Takatoshi,Ackley,M,937,406-4135,PETTISVILLE,OH,43553,S,Y,30000,1.5418718,1300,0,1300
Manrique,Arbab,M,228,916-6614,FULTON,MS,38843,S,N,65000,5.0,6000,0,0
Liangjie,Khadilkar,F,208,134-1273,LOWMAN,ID,83637,M,Y,45000,7.8,0,6600,3300
Cholwich,Lubarsky,F,920,474-5754,KANSASVILLE,WI,53139,M,Y,70000,5.6626635,0,1400,400
Georgette,Durre,M,910,453-6687,SEABOARD,NC,27876,S,Y,75000,7.305944,3300,0,3300
Wasfi,Kalyanakrishnan,F,856,343-5117,MORRIS PLAINS,NJ,7950,S,N,25000,1.4788542,1000,0,0
Teodor,Grob,M,505,505-5405,PIE TOWN,NM,87827,M,Y,75000,5.3,0,6600,3300
Vasilios,Quinlan,F,775,401-3473,RENO,NV,89501,M,N,45000,0.0,0,0,0
Hanpei,Demleitner,F,202,295-6249,WASHINGTON,DC,20350,M,N,95000,9.0,0,2740,0
Marti,Pataki,M,740,857-8238,KALIDA,OH,45853,M,N,45000,2.039795,0,2600,0
Tsunetoshi,Lehoczky,F,301,299-7979,FREDERICK,MD,21701,S,N,25000,4.75,2400,0,0
Sharon,Chamillard,F,406,884-7833,BILLINGS,MT,59108,S,N,65000,6.9,1900,0,0
Yuval,Karatsu,F,781,304-5417,RUTLAND,MA,1543,M,Y,55000,5.3,0,7150,1000
Shaw,Kingdon,M,401,439-8354,PRUDENCE ISLAND,RI,2872,M,N,90000,0.0,0,0,0
Yoshiharu,Ohmori,M,907,220-7402,ANDERSON,AK,99744,S,Y,5000,0.0,0,0,0
Piraye,Laguitton,F,907,711-1571,SOUTH NAKNEK,AK,99670,M,N,40000,0.0,0,0,0
Fumitake,Morvan,M,361,423-8077,PONDER,TX,76259,S,Y,60000,0.0,0,0,0
Xiaopeng,Balfanz,F,507,132-2531,MINNEAPOLIS,MN,55483,M,N,45000,6.6568303,0,6600,0
Hironao,Telerman,F,775,878-2990,LAS VEGAS,NV,89146,S,N,70000,0.0,0,0,0
Jyhjong,Bals,F,302,118-1749,LINCOLN,DE,19960,S,N,70000,5.95,110,0,0
Hannah,Mittra,M,907,893-4244,TANANA,AK,99777,M,Y,5000,0.0,0,0,0
Wilburt,Yabe,M,985,146-5642,MANSURA,LA,71350,S,Y,100000,6.0,4500,0,1000
